value,ij,t
0.0,n28 => n6,51
0.0,n28 => n6,52
0.0,n28 => n6,53
0.0,n28 => n6,54
0.0,n28 => n6,55
0.0,n28 => n6,56
0.0,n28 => n6,57
0.0,n28 => n6,58
0.0,n28 => n6,59
0.0,n28 => n6,60
0.0,n28 => n6,61
0.0,n28 => n6,62
0.0,n28 => n6,63
0.0,n28 => n6,64
0.0,n28 => n6,65
0.0,n28 => n6,66
0.0,n28 => n6,67
0.0,n28 => n6,68
0.0,n28 => n6,69
0.0,n28 => n6,70
0.0,n28 => n6,71
0.0,n28 => n6,72
0.0,n28 => n6,73
0.0,n28 => n6,74
0.0,n28 => n6,75
0.0,n28 => n6,76
0.0,n28 => n6,77
0.0,n28 => n6,78
0.0,n28 => n6,79
0.0,n28 => n6,80
0.0,n28 => n6,81
0.0,n28 => n6,82
0.0,n28 => n6,83
0.0,n28 => n6,84
0.0,n28 => n6,85
0.0,n28 => n6,86
0.0,n28 => n6,87
0.0,n28 => n6,88
0.0,n28 => n6,89
0.0,n28 => n6,90
0.0,n28 => n6,91
0.0,n28 => n6,92
0.0,n28 => n6,93
0.0,n28 => n6,94
0.0,n28 => n6,95
0.0,n28 => n6,96
0.0,n17 => n6,0
0.0,n17 => n6,1
0.0,n17 => n6,2
0.0,n17 => n6,3
0.0,n17 => n6,4
0.0,n17 => n6,5
0.0,n17 => n6,6
0.0,n17 => n6,7
0.0,n17 => n6,8
0.0,n17 => n6,9
0.0,n17 => n6,10
0.0,n17 => n6,11
0.0,n17 => n6,12
0.0,n17 => n6,13
0.0,n17 => n6,14
0.0,n17 => n6,15
0.0,n17 => n6,16
0.0,n17 => n6,17
0.0,n17 => n6,18
0.0,n17 => n6,19
0.0,n17 => n6,20
0.0,n17 => n6,21
0.0,n17 => n6,22
0.0,n17 => n6,23
0.0,n17 => n6,24
0.0,n17 => n6,25
0.0,n17 => n6,26
0.0,n17 => n6,27
0.0,n17 => n6,28
0.0,n17 => n6,29
0.0,n17 => n6,30
0.0,n17 => n6,31
0.0,n17 => n6,32
0.0,n17 => n6,33
0.0,n17 => n6,34
0.0,n17 => n6,35
0.0,n17 => n6,36
0.0,n17 => n6,37
0.0,n17 => n6,38
0.0,n17 => n6,39
0.0,n17 => n6,40
0.0,n17 => n6,41
0.0,n17 => n6,42
0.0,n17 => n6,43
0.0,n17 => n6,44
0.0,n17 => n6,45
0.0,n17 => n6,46
0.0,n17 => n6,47
0.0,n17 => n6,48
0.0,n17 => n6,49
0.0,n17 => n6,50
0.0,n17 => n6,51
0.0,n17 => n6,52
0.0,n17 => n6,53
0.0,n17 => n6,54
0.0,n17 => n6,55
0.0,n17 => n6,56
0.0,n17 => n6,57
0.0,n17 => n6,58
0.0,n17 => n6,59
0.0,n17 => n6,60
0.0,n17 => n6,61
0.0,n17 => n6,62
0.0,n17 => n6,63
0.0,n17 => n6,64
0.0,n17 => n6,65
0.0,n17 => n6,66
0.0,n17 => n6,67
0.0,n17 => n6,68
0.0,n17 => n6,69
0.0,n17 => n6,70
0.0,n17 => n6,71
0.0,n17 => n6,72
0.0,n17 => n6,73
0.0,n17 => n6,74
0.0,n17 => n6,75
0.0,n17 => n6,76
0.0,n17 => n6,77
0.0,n17 => n6,78
0.0,n17 => n6,79
0.0,n17 => n6,80
0.0,n17 => n6,81
0.0,n17 => n6,82
0.0,n17 => n6,83
0.0,n17 => n6,84
0.0,n17 => n6,85
0.0,n17 => n6,86
0.0,n17 => n6,87
0.0,n17 => n6,88
0.0,n17 => n6,89
0.0,n17 => n6,90
0.0,n17 => n6,91
0.0,n17 => n6,92
0.0,n17 => n6,93
0.0,n17 => n6,94
0.0,n17 => n6,95
0.0,n17 => n6,96
0.0,n10 => n28,0
0.0,n10 => n28,1
0.0,n10 => n28,2
0.0,n10 => n28,3
0.0,n10 => n28,4
0.0,n10 => n28,5
0.0,n10 => n28,6
0.0,n10 => n28,7
0.0,n10 => n28,8
0.0,n10 => n28,9
0.0,n10 => n28,10
0.0,n10 => n28,11
0.0,n10 => n28,12
0.0,n10 => n28,13
0.0,n10 => n28,14
0.0,n10 => n28,15
0.0,n10 => n28,16
0.0,n10 => n28,17
0.0,n10 => n28,18
0.0,n10 => n28,19
0.0,n10 => n28,20
0.0,n10 => n28,21
0.0,n10 => n28,22
0.0,n10 => n28,23
0.0,n10 => n28,24
0.0,n10 => n28,25
0.0,n10 => n28,26
0.0,n10 => n28,27
0.0,n10 => n28,28
0.0,n10 => n28,29
0.0,n10 => n28,30
0.0,n10 => n28,31
0.0,n10 => n28,32
0.0,n10 => n28,33
0.0,n10 => n28,34
0.0,n10 => n28,35
0.0,n10 => n28,36
0.0,n10 => n28,37
0.0,n10 => n28,38
0.0,n10 => n28,39
0.0,n10 => n28,40
0.0,n10 => n28,41
0.0,n10 => n28,42
0.0,n10 => n28,43
0.0,n10 => n28,44
0.0,n10 => n28,45
0.0,n10 => n28,46
0.0,n10 => n28,47
0.0,n10 => n28,48
0.0,n10 => n28,49
0.0,n10 => n28,50
0.0,n10 => n28,51
0.0,n10 => n28,52
0.0,n10 => n28,53
0.0,n10 => n28,54
0.0,n10 => n28,55
0.0,n10 => n28,56
0.0,n10 => n28,57
0.0,n10 => n28,58
0.0,n10 => n28,59
0.0,n10 => n28,60
0.0,n10 => n28,61
0.0,n10 => n28,62
0.0,n10 => n28,63
0.0,n10 => n28,64
0.0,n10 => n28,65
0.0,n10 => n28,66
0.0,n10 => n28,67
0.0,n10 => n28,68
0.0,n10 => n28,69
0.0,n10 => n28,70
0.0,n10 => n28,71
0.0,n10 => n28,72
0.0,n10 => n28,73
0.0,n10 => n28,74
0.0,n10 => n28,75
0.0,n10 => n28,76
0.0,n10 => n28,77
0.0,n10 => n28,78
0.0,n10 => n28,79
0.0,n10 => n28,80
0.0,n10 => n28,81
0.0,n10 => n28,82
0.0,n10 => n28,83
0.0,n10 => n28,84
0.0,n10 => n28,85
0.0,n10 => n28,86
0.0,n10 => n28,87
0.0,n10 => n28,88
0.0,n10 => n28,89
0.0,n10 => n28,90
0.0,n10 => n28,91
0.0,n10 => n28,92
0.0,n10 => n28,93
0.0,n10 => n28,94
0.0,n10 => n28,95
0.0,n10 => n28,96
0.0,n21 => n24,0
0.0,n21 => n24,1
0.0,n21 => n24,2
0.0,n21 => n24,3
0.0,n21 => n24,4
0.0,n21 => n24,5
0.0,n21 => n24,6
0.0,n21 => n24,7
0.0,n21 => n24,8
0.0,n21 => n24,9
0.0,n21 => n24,10
0.0,n21 => n24,11
0.0,n21 => n24,12
0.0,n21 => n24,13
0.0,n21 => n24,14
0.0,n21 => n24,15
0.0,n21 => n24,16
0.0,n21 => n24,17
0.0,n21 => n24,18
0.0,n21 => n24,19
0.0,n21 => n24,20
0.0,n21 => n24,21
0.0,n21 => n24,22
0.0,n21 => n24,23
0.0,n21 => n24,24
0.0,n21 => n24,25
0.0,n21 => n24,26
0.0,n21 => n24,27
0.0,n21 => n24,28
0.0,n21 => n24,29
0.0,n21 => n24,30
0.0,n21 => n24,31
0.0,n21 => n24,32
0.0,n21 => n24,33
0.0,n21 => n24,34
0.0,n21 => n24,35
0.0,n21 => n24,36
0.0,n21 => n24,37
0.0,n21 => n24,38
0.0,n21 => n24,39
0.0,n21 => n24,40
0.0,n21 => n24,41
0.0,n21 => n24,42
0.0,n21 => n24,43
0.0,n21 => n24,44
0.0,n21 => n24,45
0.0,n21 => n24,46
0.0,n21 => n24,47
0.0,n21 => n24,48
0.0,n21 => n24,49
0.0,n21 => n24,50
0.0,n21 => n24,51
0.0,n21 => n24,52
0.0,n21 => n24,53
0.0,n21 => n24,54
0.0,n21 => n24,55
0.0,n21 => n24,56
0.0,n21 => n24,57
0.0,n21 => n24,58
0.0,n21 => n24,59
0.0,n21 => n24,60
0.0,n21 => n24,61
0.0,n21 => n24,62
0.0,n21 => n24,63
0.0,n21 => n24,64
0.0,n21 => n24,65
0.0,n21 => n24,66
0.0,n21 => n24,67
0.0,n21 => n24,68
0.0,n21 => n24,69
0.0,n21 => n24,70
0.0,n21 => n24,71
0.0,n21 => n24,72
